date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2023-01-01,82.0,82.0,99.0,70.0
2022-12-31,13.0,56.0,13.0,45.0
2022-12-30,84.0,84.0,75.0,51.0
2022-12-29,69.0,69.0,46.0,38.0
2022-12-28,64.0,64.0,92.0,46.0
2022-12-27,76.0,76.0,93.0,50.0
2022-12-26,100.0,100.0,95.0,53.0
2022-12-25,92.0,92.0,87.0,72.0
2022-12-24,13.0,100.0,13.0,39.0
2022-12-23,91.0,91.0,90.0,45.0
2022-12-22,74.0,74.0,93.0,44.0
2022-12-21,65.0,65.0,77.0,46.0
2022-12-20,69.0,69.0,54.0,47.0
2022-12-19,100.0,100.0,80.0,50.0
2022-12-18,68.0,68.0,91.0,40.0
2022-12-17,38.0,38.0,69.0,41.0
2022-12-16,62.0,62.0,95.0,45.0
2022-12-15,24.0,24.0,88.0,57.0
2022-12-14,1.0,0.0,91.0,48.0
2022-12-13,43.0,43.0,87.0,45.0
2022-12-12,89.0,89.0,97.0,61.0
2022-12-11,60.0,60.0,96.0,45.0
2022-12-10,52.0,52.0,98.0,50.0
2022-12-09,72.0,72.0,95.0,67.0
2022-12-08,46.0,46.0,97.0,61.0
2022-12-07,83.0,83.0,94.0,71.0
2022-12-06,24.0,69.0,82.0,24.0
2022-12-05,73.0,73.0,96.0,35.0
2022-12-04,43.0,43.0,96.0,55.0
2022-12-03,17.0,17.0,88.0,34.0
2022-12-02,58.0,58.0,90.0,51.0
2022-12-01,25.0,25.0,91.0,53.0
