date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-12-01,25.0,25.0,91.0,53.0
2022-11-30,58.0,58.0,87.0,61.0
2022-11-29,65.0,65.0,66.0,43.0
2022-11-28,99.0,99.0,56.0,72.0
2022-11-27,92.0,92.0,84.0,49.0
2022-11-26,100.0,100.0,97.0,50.0
2022-11-25,97.0,97.0,97.0,41.0
2022-11-24,100.0,100.0,98.0,46.0
2022-11-23,94.0,94.0,99.0,48.0
2022-11-22,65.0,65.0,74.0,36.0
2022-11-21,86.0,86.0,100.0,42.0
2022-11-20,66.0,66.0,99.0,50.0
2022-11-19,24.0,24.0,99.0,39.0
2022-11-18,14.0,14.0,100.0,48.0
2022-11-16,26.0,26.0,95.0,35.0
2022-11-15,32.0,32.0,93.0,42.0
2022-11-12,29.0,29.0,99.0,45.0
2022-11-11,80.0,80.0,99.0,50.0
2022-11-10,65.0,65.0,97.0,55.0
2022-11-09,92.0,92.0,98.0,51.0
2022-11-08,92.0,92.0,97.0,49.0
2022-11-07,84.0,84.0,99.0,59.0
2022-11-06,67.0,67.0,86.0,68.0
2022-11-05,75.0,75.0,97.0,42.0
2022-11-04,93.0,93.0,100.0,44.0
