date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-08-01,97.0,97.0,98.0,43.0
2022-07-31,96.0,96.0,97.0,57.0
2022-07-30,90.0,90.0,98.0,44.0
2022-07-29,77.0,77.0,67.0,43.0
2022-07-27,100.0,100.0,37.0,39.0
2022-07-26,100.0,100.0,95.0,61.0
2022-07-25,100.0,100.0,95.0,43.0
2022-07-24,100.0,100.0,89.0,45.0
2022-07-23,81.0,81.0,97.0,44.0
2022-07-22,78.0,78.0,95.0,46.0
2022-07-21,78.0,78.0,93.0,45.0
2022-07-20,86.0,86.0,95.0,62.0
2022-07-19,87.0,87.0,91.0,57.0
2022-07-18,100.0,100.0,97.0,58.0
2022-07-17,100.0,100.0,96.0,32.0
2022-07-16,49.0,49.0,88.0,47.0
2022-07-15,46.0,46.0,90.0,42.0
2022-07-14,62.0,62.0,93.0,49.0
2022-07-13,84.0,84.0,93.0,52.0
2022-07-12,84.0,84.0,98.0,42.0
2022-07-11,88.0,88.0,95.0,57.0
2022-07-10,59.0,59.0,94.0,45.0
2022-07-09,41.0,41.0,97.0,42.0
2022-07-08,40.0,40.0,97.0,47.0
2022-07-07,64.0,64.0,98.0,49.0
2022-07-06,83.0,83.0,98.0,52.0
2022-07-05,58.0,58.0,98.0,60.0
2022-07-04,2.0,34.0,2.0,17.0
2022-07-03,12.0,12.0,72.0,67.0
2022-07-02,17.0,17.0,96.0,23.0
2022-07-01,62.0,62.0,95.0,54.0
