date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-09-01,98.0,98.0,100.0,57.0
2022-08-31,88.0,88.0,100.0,55.0
2022-08-30,47.0,47.0,46.0,35.0
2022-08-28,56.0,56.0,91.0,49.0
2022-08-26,3.0,3.0,100.0,43.0
2022-08-25,1.0,0.0,100.0,50.0
2022-08-24,1.0,0.0,100.0,61.0
2022-08-23,1.0,0.0,63.0,26.0
2022-08-22,7.0,7.0,99.0,55.0
2022-08-21,48.0,48.0,100.0,44.0
2022-08-20,33.0,33.0,99.0,49.0
2022-08-18,1.0,0.0,63.0,23.0
2022-08-17,85.0,85.0,74.0,65.0
2022-08-16,26.0,87.0,67.0,26.0
2022-08-15,95.0,95.0,95.0,58.0
2022-08-14,99.0,99.0,95.0,64.0
2022-08-13,97.0,97.0,72.0,48.0
2022-08-12,96.0,96.0,92.0,55.0
2022-08-11,92.0,92.0,97.0,55.0
2022-08-10,84.0,84.0,85.0,48.0
2022-08-09,73.0,73.0,98.0,35.0
2022-08-08,75.0,75.0,99.0,62.0
2022-08-07,65.0,65.0,99.0,55.0
2022-08-06,95.0,95.0,99.0,32.0
2022-08-05,100.0,100.0,90.0,57.0
2022-08-04,100.0,100.0,45.0,56.0
2022-08-03,100.0,100.0,89.0,49.0
2022-08-02,99.0,99.0,95.0,41.0
2022-08-01,97.0,97.0,98.0,43.0
