date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-06-01,28.0,28.0,90.0,46.0
2022-05-31,55.0,55.0,91.0,54.0
2022-05-30,89.0,89.0,97.0,59.0
2022-05-29,73.0,73.0,88.0,38.0
2022-05-28,74.0,74.0,98.0,38.0
2022-05-27,70.0,70.0,99.0,55.0
2022-05-26,91.0,91.0,99.0,53.0
2022-05-25,96.0,96.0,100.0,58.0
2022-05-24,98.0,98.0,99.0,68.0
2022-05-23,78.0,78.0,86.0,33.0
2022-05-22,57.0,57.0,91.0,56.0
2022-05-21,81.0,81.0,97.0,61.0
2022-05-20,66.0,66.0,43.0,41.0
2022-05-19,32.0,32.0,90.0,58.0
2022-05-18,20.0,20.0,94.0,48.0
2022-05-17,47.0,47.0,99.0,44.0
2022-05-16,55.0,55.0,99.0,62.0
2022-05-15,20.0,20.0,98.0,53.0
2022-05-14,94.0,94.0,89.0,60.0
2022-05-13,26.0,82.0,26.0,53.0
2022-05-12,17.0,100.0,17.0,56.0
2022-05-11,94.0,94.0,39.0,56.0
2022-05-10,88.0,88.0,96.0,53.0
2022-05-09,77.0,77.0,94.0,75.0
2022-05-07,49.0,49.0,86.0,49.0
2022-05-06,31.0,31.0,83.0,35.0
2022-05-05,43.0,43.0,96.0,53.0
2022-05-04,60.0,60.0,89.0,45.0
2022-05-03,100.0,100.0,89.0,51.0
2022-05-02,89.0,89.0,94.0,46.0
2022-05-01,68.0,68.0,93.0,44.0
