date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-10-01,1.0,0.0,82.0,47.0
2022-09-30,23.0,23.0,80.0,51.0
2022-09-29,38.0,38.0,93.0,57.0
2022-09-28,29.0,29.0,97.0,57.0
2022-09-27,8.0,8.0,97.0,56.0
2022-09-26,58.0,58.0,99.0,65.0
2022-09-25,1.0,0.0,97.0,43.0
2022-09-24,26.0,26.0,95.0,54.0
2022-09-23,50.0,50.0,94.0,59.0
2022-09-22,1.0,0.0,83.0,48.0
2022-09-20,51.0,51.0,80.0,53.0
2022-09-19,98.0,98.0,97.0,54.0
2022-09-18,90.0,90.0,100.0,50.0
2022-09-17,59.0,59.0,99.0,50.0
2022-09-16,56.0,56.0,100.0,49.0
2022-09-15,80.0,80.0,100.0,64.0
2022-09-14,55.0,55.0,98.0,38.0
2022-09-13,57.0,57.0,76.0,67.0
2022-09-11,86.0,86.0,100.0,57.0
2022-09-10,69.0,69.0,98.0,54.0
2022-09-09,75.0,75.0,52.0,32.0
2022-09-08,68.0,68.0,100.0,62.0
2022-09-07,69.0,69.0,100.0,57.0
2022-09-06,100.0,100.0,96.0,58.0
2022-09-05,100.0,100.0,99.0,64.0
2022-09-04,100.0,100.0,91.0,30.0
2022-09-03,98.0,98.0,99.0,55.0
2022-09-02,94.0,94.0,100.0,48.0
2022-09-01,98.0,98.0,100.0,57.0
