date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-04-01,60.0,60.0,99.0,56.0
2022-03-31,37.0,37.0,98.0,48.0
2022-03-30,37.0,37.0,99.0,58.0
2022-03-29,93.0,93.0,99.0,54.0
2022-03-27,82.0,82.0,83.0,68.0
2022-03-26,71.0,71.0,93.0,32.0
2022-03-25,39.0,39.0,99.0,62.0
2022-03-24,8.0,13.0,8.0,27.0
2022-03-23,14.0,14.0,93.0,57.0
2022-03-22,39.0,39.0,97.0,49.0
2022-03-21,69.0,69.0,99.0,56.0
2022-03-20,38.0,38.0,95.0,40.0
2022-03-19,25.0,25.0,96.0,50.0
2022-03-18,30.0,30.0,94.0,37.0
