date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-10-24,74.0,74.0,99.0,48.0
2022-10-23,40.0,40.0,99.0,43.0
2022-10-22,65.0,65.0,99.0,34.0
2022-10-21,65.0,65.0,100.0,40.0
2022-10-20,68.0,68.0,99.0,44.0
2022-10-19,100.0,100.0,98.0,41.0
2022-10-18,100.0,100.0,100.0,46.0
2022-10-17,100.0,100.0,86.0,33.0
2022-10-16,96.0,96.0,97.0,49.0
2022-10-15,22.0,85.0,35.0,22.0
2022-10-14,58.0,58.0,96.0,41.0
2022-10-13,40.0,40.0,90.0,51.0
2022-10-12,93.0,93.0,85.0,44.0
2022-10-11,100.0,100.0,83.0,53.0
2022-10-10,85.0,85.0,92.0,36.0
2022-10-09,92.0,92.0,97.0,42.0
2022-10-08,94.0,94.0,84.0,39.0
2022-10-07,41.0,41.0,83.0,38.0
2022-10-06,30.0,30.0,93.0,46.0
2022-10-05,76.0,76.0,77.0,42.0
2022-10-04,50.0,50.0,71.0,61.0
2022-10-03,60.0,60.0,77.0,53.0
2022-10-02,28.0,28.0,81.0,57.0
2022-10-01,1.0,0.0,82.0,47.0
