date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-05-01,68.0,68.0,93.0,44.0
2022-04-30,100.0,100.0,86.0,59.0
2022-04-29,78.0,78.0,97.0,49.0
2022-04-28,62.0,62.0,96.0,48.0
2022-04-27,67.0,67.0,92.0,49.0
2022-04-26,70.0,70.0,96.0,37.0
2022-04-25,94.0,94.0,99.0,53.0
2022-04-24,77.0,77.0,99.0,51.0
2022-04-23,48.0,48.0,94.0,35.0
2022-04-22,39.0,39.0,98.0,51.0
2022-04-21,47.0,47.0,98.0,49.0
2022-04-20,61.0,61.0,99.0,52.0
2022-04-19,65.0,65.0,99.0,49.0
2022-04-18,91.0,91.0,99.0,59.0
2022-04-17,80.0,80.0,99.0,51.0
2022-04-16,68.0,68.0,96.0,51.0
2022-04-15,3.0,40.0,3.0,38.0
2022-04-14,58.0,58.0,93.0,60.0
2022-04-13,15.0,15.0,68.0,38.0
2022-04-12,63.0,63.0,43.0,48.0
2022-04-11,100.0,100.0,88.0,54.0
2022-04-10,100.0,100.0,100.0,53.0
2022-04-09,95.0,95.0,99.0,49.0
2022-04-08,88.0,88.0,100.0,55.0
2022-04-07,75.0,75.0,99.0,50.0
2022-04-06,50.0,50.0,83.0,74.0
2022-04-04,100.0,100.0,97.0,54.0
2022-04-03,95.0,95.0,96.0,46.0
2022-04-02,85.0,85.0,97.0,52.0
2022-04-01,60.0,60.0,99.0,56.0
