date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2022-07-01,62.0,62.0,95.0,54.0
2022-06-30,20.0,20.0,98.0,47.0
2022-06-29,42.0,42.0,95.0,42.0
2022-06-28,56.0,56.0,85.0,53.0
2022-06-27,100.0,100.0,94.0,48.0
2022-06-26,94.0,94.0,91.0,62.0
2022-06-25,69.0,69.0,98.0,55.0
2022-06-24,39.0,39.0,94.0,51.0
2022-06-23,60.0,60.0,85.0,69.0
2022-06-22,41.0,41.0,87.0,63.0
2022-06-21,76.0,76.0,90.0,61.0
2022-06-20,90.0,90.0,96.0,65.0
2022-06-19,69.0,69.0,88.0,56.0
2022-06-18,77.0,77.0,93.0,58.0
2022-06-17,67.0,67.0,92.0,56.0
2022-06-16,79.0,79.0,88.0,60.0
2022-06-15,68.0,68.0,89.0,58.0
2022-06-14,77.0,77.0,86.0,55.0
2022-06-13,99.0,99.0,85.0,53.0
2022-06-12,100.0,100.0,96.0,56.0
2022-06-11,100.0,100.0,96.0,45.0
2022-06-10,79.0,79.0,95.0,51.0
2022-06-09,73.0,73.0,83.0,49.0
2022-06-08,58.0,58.0,82.0,46.0
2022-06-07,56.0,56.0,98.0,49.0
2022-06-06,22.0,22.0,64.0,35.0
2022-06-05,39.0,39.0,98.0,58.0
2022-06-04,13.0,13.0,98.0,52.0
2022-06-03,1.0,0.0,98.0,55.0
2022-06-02,1.0,0.0,95.0,53.0
2022-06-01,28.0,28.0,90.0,46.0
